Symbol,Close Price,Band,Margin,Tradable
INDIAGLYCO,837.85,20,5,Yes
INFY,1511.3,No Band,5,Yes
INGERRAND,3909.1,20,5,Yes
IONEXCHANG,426.55,20,5,Yes
JSWSTEEL,1115.2,No Band,5,Yes
KAJARIACER,1235.3,20,5,Yes
WHIRLPOOL,1361.7,20,5,Yes
KIRLOSBROS,2040.6,20,5,Yes
KOTAKBANK,2021.7,No Band,5,Yes
KSB,855.7,20,5,Yes
TRENT,5147.5,No Band,5,Yes
LMW,14995,20,5,Yes
LICHSGFIN,570.05,No Band,5,Yes
LUPIN,2051.8,No Band,5,Yes
RAMCOCEM,1040,20,5,Yes
MAHSEAMLES,629.35,20,5,Yes
MAHSCOOTER,17962,20,5,Yes
MFSL,1564.1,No Band,5,Yes
MRF,150890,20,5,Yes
NCC,216.14,No Band,5,Yes
VEDL,461.3,No Band,5,Yes
GRASIM,2843,No Band,5,Yes
PEL,1145,20,5,Yes
ONGC,235.09,No Band,5,Yes
RELIANCE,1405.3,No Band,5,Yes
PIDILITIND,3074,No Band,5,Yes
BIRLACORPN,1290.7,20,5,Yes
SURYAROSNI,294.9,20,5,Yes
PRSMJOHNSN,149.5,20,5,Yes
RALLIS,339.25,20,5,Yes
PATANJALI,600.3,No Band,5,Yes
JINDALSAW,210.05,20,5,Yes
JKLAKSHMI,913.9,20,5,Yes
SHREECEM,29575,No Band,5,Yes
RELINFRA,,5,,No
TATAPOWER,396.05,No Band,5,Yes
SUNDRMFAST,1053.9,20,5,Yes
SUNFLAG,265.75,20,5,Yes
SPLPETRO,804.4,20,5,Yes
TATAELXSI,5707,No Band,5,Yes
ACC,1866,20,5,Yes
THERMAX,3318.8,20,5,Yes
THOMASCOOK,173.47,20,5,Yes
TORNTPHARM,3535.5,No Band,5,Yes
AMBUJACEM,573.65,No Band,5,Yes
HINDALCO,755.95,No Band,5,Yes
PGHH,13369,20,5,Yes
BBOX,491.25,5,5,No
FEDERALBNK,196.41,No Band,5,Yes
TATASTEEL,172.02,No Band,5,Yes
SKFINDIA,4795.7,20,5,Yes
ASHOKLEY,134.54,No Band,5,Yes
CUMMINSIND,4111,No Band,5,Yes
TATACOMM,1713.8,20,5,Yes
ABBOTINDIA,30930,20,5,Yes
BAJAJHLDNG,13525,20,5,Yes
BHARATFORG,1263.2,No Band,5,Yes
ESCORTS,3671.1,20,5,Yes
LT,3667.8,No Band,5,Yes
BOSCHLTD,39920,No Band,5,Yes
BPCL,318.25,No Band,5,Yes
SIEMENS,3313.8,No Band,5,Yes
TATAMOTORS,713.25,No Band,5,Yes
VOLTAS,1414.6,No Band,5,Yes
GESHIP,1058.15,20,5,Yes
DEEPAKFERT,1425.3,20,5,Yes
